tc_customer_id,tc_loyalty_program_id,custom_data_product_differentiator,tc_min_created_at,tc_max_created_at,number_of_txns,customer_id,loyalty_program_id,selling_price_usd,cost_per_point_usd,transfer_ratio,start_date,end_date,type_of_partner,tier
3,AFFLYINGBLUE,,2024-06-01 00:23:45.200869,2024-07-29 17:09:58.759802,201,3,AFFLYINGBLUE,0.0178,0.0115,3.5,2023-09-05,3000-10-10,Ascenda Partner,""
3,AMCLUBPREMIER,,2024-06-23 21:43:10.415366,2024-06-24 18:53:32.39436,2,3,AMCLUBPREMIER,0.0197,0.01278,3.5,2024-01-01,3000-10-10,Ascenda Partner,""
3,BAAVIOS,,2024-06-03 11:55:57.970957,2024-07-29 19:45:58.451945,101,3,BAAVIOS,0.019,0.0125,3.5,2024-01-01,3000-10-10,Ascenda Partner,""
3,ETHGUEST,,2024-07-02 00:33:35.359777,2024-07-16 03:37:24.86162,8,3,ETHGUEST,0.0185,0.012,3.5,2023-09-05,3000-10-10,Ascenda Partner,""
3,IBIBERIAPLUS,,2024-06-01 10:25:40.429054,2024-07-30 01:44:53.785077,309,3,IBIBERIAPLUS,0.019,0.0125,3.5,2024-01-01,3000-10-10,Ascenda Partner,""
3,IHGREWARDSCLUB,,2024-06-08 16:10:26.907137,2024-07-28 22:37:07.952715,17,3,IHGREWARDSCLUB,0.0108,0.007,2,2023-09-05,3000-10-10,Ascenda Partner,""
3,UAMILEAGEPLUS,,2024-06-01 19:21:28.170828,2024-07-29 17:24:00.136128,238,3,UAMILEAGEPLUS,0.0232,0.014,4,2022-09-23,3000-10-10,Ascenda Partner,""
5,AABIG,,2024-06-22 13:23:51,2024-06-22 14:20:00,2,5,AABIG,0.00875707128,0.0058188429,32,2018-04-16,3000-10-10,Ascenda Partner,""
5,ABFLIGGY,,2024-06-01 02:56:43,2024-07-30 04:17:21,706,5,ABFLIGGY,0.0019276572,0.002065347,9,2020-09-27,3000-10-10,Ascenda Partner,""
5,ABFLIGGY,,2024-06-01 02:56:43,2024-07-30 04:17:21,706,5,ABFLIGGY,0.0024784164,0.002065347,9,2020-09-27,3000-10-10,Ascenda Partner,""
5,ACAEROPLAN,,2024-06-01 02:43:48,2024-07-29 12:27:06,103,5,ACAEROPLAN,0.01376898,0.010826775,50,2019-02-25,3000-10-10,Ascenda Partner,""
5,ACCORLECLUB,,2024-06-04 04:49:26,2024-07-29 17:39:51,38,5,ACCORLECLUB,0.026161062,0.01838975,95,2022-08-01,3000-10-10,Ascenda Partner,""
5,AFFLYINGBLUE,,2024-06-01 02:56:15,2024-07-30 04:02:33,2162,5,AFFLYINGBLUE,0.01251600282,0.0105,46,2018-04-16,3000-10-10,Ascenda Partner,""
5,AVLIFEMILES,,2024-06-01 01:10:42,2024-07-30 04:32:55,47,5,AVLIFEMILES,0.015145878,0.0125,55,2019-07-01,3000-10-10,Ascenda Partner,""
5,AYFINNAIRPLUS,,2024-06-01 17:27:13,2024-07-29 01:53:35,30,5,AYFINNAIRPLUS,0.015145878,0.01,55,2024-05-01,3000-10-10,Ascenda Partner,""
5,BAAVIOS,,2024-06-01 10:46:22,2024-07-29 14:57:44,129,5,BAAVIOS,0,0.0125,68,2024-01-01,3000-10-10,Ascenda Partner,""
5,CXASIAMILES,,2024-06-01 02:04:47,2024-07-30 04:09:37,1641,5,CXASIAMILES,0.0187258128,0.014,68,2021-11-01,3000-10-10,Ascenda Partner,""
5,EKSKYWARDS,,2024-06-20 06:30:29,2024-07-25 03:38:17,17,5,EKSKYWARDS,0.024784164,0.017,90,2024-01-01,3000-10-10,Ascenda Partner,""
5,ETHGUEST,,2024-06-10 07:58:56,2024-07-19 07:49:49,7,5,ETHGUEST,0.01376898,0.012,50,2018-04-16,3000-10-10,Ascenda Partner,""
5,EVAINFML,,2024-06-01 00:08:05,2024-07-30 04:37:04,7356,5,EVAINFML,0.01376898,0.01155,50,2018-04-16,3000-10-10,Ascenda Partner,""
5,JALMILEAGEBANK,,2024-06-02 17:25:07,2024-07-27 06:59:55,12,5,JALMILEAGEBANK,0.024784164,0.019,90,2020-08-31,3000-10-10,Ascenda Partner,""
5,MIMARRIOTTBONVOY,,2024-06-01 02:48:26,2024-07-30 03:08:44,591,5,MIMARRIOTTBONVOY,0.0115659432,0.0092,42,2020-08-31,3000-10-10,Ascenda Partner,""
5,QFQANTAS,,2024-06-01 03:37:50,2024-07-29 17:42:50,1913,5,QFQANTAS,0.01251600282,0.01,46,2019-02-25,3000-10-10,Ascenda Partner,""
5,QRPRIVILEGECLUB,,2024-06-06 04:43:04,2024-07-21 15:45:39,14,5,QRPRIVILEGECLUB,0.019276572,0.014,70,2020-05-01,3000-10-10,Ascenda Partner,""
5,SQKF,,2024-06-01 12:59:41,2024-06-24 15:17:23,24,5,SQKF,0.0187258128,0.014,68,2020-12-01,3000-10-10,Ascenda Partner,""
5,UAMILEAGEPLUS,,2024-06-01 04:07:03,2024-07-30 02:03:39,45,5,UAMILEAGEPLUS,0.01752791154,0.0135,64,2018-04-16,3000-10-10,Ascenda Partner,""
5,VNLOTUSMILES,,2024-07-27 12:23:32,2024-07-27 12:23:32,1,5,VNLOTUSMILES,0.01376898,0.0105,50,2020-08-31,3000-10-10,Ascenda Partner,""
5,WHWYNDHAMREWARDS,,2024-06-18 10:49:52,2024-07-25 13:00:30,11,5,WHWYNDHAMREWARDS,0.015145878,0.012,55,2020-08-31,3000-10-10,Ascenda Partner,""
11,ACAEROPLAN,,2024-06-01 06:45:53.992009,2024-07-29 06:45:51.331059,190,11,ACAEROPLAN,0.016,0.012270345,1.7,2018-06-15,3000-10-10,Ascenda Partner,""
11,AFFLYINGBLUE,,2024-06-01 06:45:54.005515,2024-07-26 06:45:53.002771,80,11,AFFLYINGBLUE,0.013,0.012,1.4,2018-04-04,3000-10-10,Ascenda Partner,""
11,AMCLUBPREMIER,,2024-07-25 06:45:50.012565,2024-07-25 06:45:50.012565,1,11,AMCLUBPREMIER,0.014,0.01278,1.5,2024-01-01,3000-10-10,Ascenda Partner,Barclays exclusive tier
11,ETHGUEST,,2024-06-25 06:45:50.879027,2024-07-05 06:45:54.463652,3,11,ETHGUEST,0.0134,0.012,1.4,2018-04-04,3000-10-10,Ascenda Partner,""
